model,group,Mean_AUPRC,Std_AUPRC,Mean_AUROC,Std_AUROC
GCN-MTL,NR,0.29859778981139024,0.1795940477589911,0.7817103398238534,0.07462935851809036
GCN-MTL,SR,0.2924063642731119,0.1687708122465616,0.7905825481220446,0.05282190639874829
GCN-NR-MTL,NR,0.2967859542187277,0.17687768266016896,0.7762703486863358,0.07655650828872047
GCN-SR-MTL,SR,0.2869843382373222,0.15766946014582806,0.7927917343797977,0.048943533786304866
GCN-STL,NR,0.2899212851982162,0.1845932489924651,0.7627434153168589,0.08551891711124289
GCN-STL,SR,0.296978724404321,0.18433086485166478,0.7833661583694403,0.059086740413558735
